,lat,lon,capacity,name,distrito
0,37.3978439,-5.9984791,20,,1
1,37.3975405,-5.9966186,17,,4
2,37.3968977,-5.993847,20,,2
3,37.40079,-5.9938002,20,,3
4,37.3994884,-5.9909861,15,,2
5,37.4031482,-5.9918576,15,,2
6,37.4033474,-5.9890824,20,,3
7,37.4033446,-5.9880344,15,,3
8,37.3952732,-6.0101435,40,,2
9,37.3921055,-6.0110319,40,,4
10,37.4025275,-5.977637,17,,3
11,37.4008296,-5.9752218,15,,4
12,37.4008477,-5.9794025,13,,1
13,37.3983746,-5.981755,15,,3
14,37.3976114,-5.9839284,16,,1
15,37.3913345,-5.9761846,40,,3
16,37.4038881,-5.9949143,30,,2
17,37.4020564,-5.986329,15,,2
18,37.3996998,-5.9839458,15,,2
19,37.389754,-5.9870267,15,,3
20,37.3895946,-5.9845523,15,,1
21,37.3853038,-5.986738,20,,3
22,37.3815369,-5.9892332,20,,2
23,37.3883808,-5.9869733,10,,4
24,37.3837304,-6.0000313,19,,3
25,37.3757089,-6.0056255,20,ana,2
26,37.3747244,-6.0023834,20,,4
27,37.3812765,-6.0010318,20, Herrera,1
28,37.3776619,-6.0025472,14,a,3
29,37.3865102,-5.9977998,18,,4
30,37.3911108,-6.0031603,39,,3
31,37.3929261,-5.9993175,20,,1
32,37.3889438,-5.9952601,40,,3
33,37.3889073,-5.9955824,30,,3
34,37.4051157,-5.9747843,20,,1
35,37.4039091,-5.972179,17,,2
36,37.4071954,-5.9789081,20,,2
37,37.4085658,-5.970531,20,,4
38,37.3898408,-5.9911886,15,,1
39,37.4096545,-5.9842555,20,,3
40,37.4129322,-5.9848934,20,,3
41,37.3886194,-6.010298,20,,3
42,37.3895726,-6.0076755,20,,3
43,37.3951765,-5.9908929,15,,3
44,37.3942887,-5.9917052,19,,4
45,37.3920955,-5.9785982,20,,4
46,37.3988222,-5.9936337,20,,1
47,37.3898804,-5.9744805,18,,2
48,37.3966427,-5.9898701,15,,1
49,37.4230116,-5.9665727,20,,3
50,37.4204849,-5.9678863,20,,3
51,37.4178443,-5.9692737,20,,2
52,37.4034791,-5.9812041,20,,2
53,37.4162681,-5.9673386,20,,4
54,37.3955925,-6.0024431,20,,1
55,37.393964,-5.9968487,19,,1
56,37.4219153,-5.9830562,15,os,1
57,37.4219455,-5.9853727,15,,1
58,37.4129286,-5.9889886,20,,3
59,37.4025422,-5.9700919,15,,4
60,37.4049325,-5.9690227,20,,2
61,37.3772116,-5.981927,15,ro,4
62,37.3837427,-5.977445,15,,4
63,37.387629,-5.9658559,19,,1
64,37.3871884,-5.9709854,15,,1
65,37.386976,-5.9780512,20,,2
66,37.3875779,-5.9810425,20,,2
67,37.3783622,-5.9794282,30,,1
68,37.3767898,-5.9978311,15,a,4
69,37.3870633,-6.0012385,20,,3
70,37.3583986,-5.9864347,25,,3
71,37.3681002,-5.9846888,20,real,2
72,37.3660853,-5.975,19,ega,4
73,37.4056509,-5.9984993,40,,2
74,37.381594,-5.9652201,18,,3
75,37.4070889,-6.0029652,20,tos,3
76,37.411072,-6.0019106,40,tos,1
77,37.4075399,-6.0074235,20,,3
78,37.4101736,-6.0056507,40,,2
79,37.4028157,-6.0040768,20,tos,4
80,37.4014414,-6.0090248,20,,1
81,37.391543,-5.9684556,18,,4
82,37.3819962,-5.9680625,20,,4
83,37.3899255,-5.9708167,14,,1
84,37.3774781,-5.9608944,20,Ruperto Chapí,2
85,37.3734928,-5.9649124,13,,4
86,37.3750834,-5.9675634,18,,4
87,37.4072386,-5.9853451,15,,1
88,37.4066763,-5.9930831,20,,1
89,37.4090933,-5.9909552,20,,3
90,37.4068864,-5.9891263,40,,1
91,37.4047516,-5.9866992,15,,3
92,37.4070186,-5.9826416,20,,1
93,37.3867693,-5.9539833,15,,2
94,37.3875947,-5.9608451,20,,2
95,37.4038631,-5.9835274,15,,4
96,37.3602749,-5.976717,18,,1
97,37.3825989,-5.9711549,20,,3
98,37.4055781,-5.9814785,20,,2
99,37.4054796,-5.9303242,15,ela,1
100,37.3944959,-5.921065,15,,4
101,37.3907156,-5.9591607,15,,1
102,37.4051738,-5.9331764,16,ela,4
103,37.4038945,-5.9279828,14,,3
104,37.3874563,-5.919972,15,,1
105,37.3908025,-5.9196533,12,ela,3
106,37.4041166,-5.9373269,15,ela - Aprox. estación de Renfe,4
