"iso","umd_tree_cover_extent_2000__ha","area__ha"
"ABW",24.95241082599935032,18197.51125791281221535
"AFG",205791.24716619936440139,64385715.386384145035421985
"AGO",55292492.03695908954560265,124742297.51716939715672802
"AIA",2125.76740300813341520,8332.24776609410960838
"ALA",107727.26260979104658777,150643.27693974762077795
"ALB",648680.052297007028572801,2873537.207248979381448895
"AND",19004.03765966400996216,45196.410731842889461355
"ARE",0.0,7120447.90264908702125462
"ARG",39086979.320572645994921577,278010122.069233770132326733
"ARM",336842.150937353846140414,2969008.679990254195278324
"ATF",71.636103116416558,4361.76931273483344
"ATG",19323.34434460069583354,43575.65842128894991322
"AUS",42280598.692827018520295577,768791340.120068678973044007
"AUT",4336043.427729154051269352,8385801.905500174018719120
"AZE",1268610.215076190068909525,8623532.539268941457486340
"BDI",537674.34837589237920282,2693531.44182180801443706
"BEL",865425.884589624897810305,3070744.164067732650573320
"BEN",168568.17385019035821946,11542318.34442370527497569
"BES",2432.08701945959447226,32365.98588800440872877
"BFA",132.10845248515464148,27341710.74522392284799842
"BGD",1938957.84070270768656677,13938437.34061725077604451
"BGR",4138947.995682735555621434,11158730.954921531108213004
"BHR",0.0,71517.71355012744886463
"BHS",303575.42138554871611779,1338763.00509958156302619
"BIH",2657977.375734696624604515,5106883.294355876429929685
"BLM",621.95062042399954945,2468.52481734923307275
"BLR",9118585.551328678503846205,20706912.088084455357380306
"BLZ",1748275.85481305724117422,2198946.13206765052206717
"BMU",604.79413164676008838,6808.11859427957737821
"BOL",64521463.01088503677038513,108339284.56963709386415407
"BRA",519187508.44570542796295615,850035649.73938153747766128
"BRB",5229.73614466927827568,43466.14610412647001369
"BRN",529338.97440788143081784,577778.77387916917901275
"BTN",2577234.59845933734380596,3876296.12215418044269977
"BWA",20328.41012015845838129,57788401.20904665375111114
"CAF",47073501.13444511080098800,62019959.33841708492403989
"CAN",417987185.631700507162609741,983248496.891630282770247596
"CHE",1544417.660332641086266225,4124549.641870537893749300
"CHL",19287066.431302936636598626,75735291.610013893092786073
"CHN",162748529.801232525188473114,937975763.533485337622580951
"CIV",14872640.43008409647443449,32165794.10811222317993319
