"iso","umd_tree_cover_gain__ha","umd_tree_cover_extent_2000__ha"
"ABW",19.23963739470541064,18197.51125791281318555
"AFG",10741.024224826558560275,64385715.386384155473342785
"AGO",1224126.46675230988679374,124742297.51716938603957096
"AIA",69.8814116778352855,8332.24776609411012238
"ALA",2582.83075217598591572,150643.27693974761907975
"ALB",16472.161126479335878509,2873537.207248979466096495
"AND",120.082399069312081775,45196.410731842894099385
"ARE",595.95297282758775891,7120447.90264908701765522
"ARG",1107734.576367453234637158,278010122.069233778891090093
"ARM",12255.932624601804088664,2969008.679990254154160024
"ATF",0.0,4361.76931273483344
"ATG",361.55605071972204673,43575.65842128894600462
"AUS",1600600.188111301384685492,768791340.120068729607938757
"AUT",36316.527198088779479380,8385801.905500174165141520
"AZE",30269.882317933179810510,8623532.539268940221737740
"BDI",16374.25461548253589284,2693531.44182180754637386
"BEL",41686.744018450096372430,3070744.164067732661286120
"BEN",181408.39271698691221132,11542318.34442370709481349
"BES",270.18286859865474919,32365.98588800440881317
"BFA",142766.37714478867951067,27341710.74522392332133342
"BGD",317861.62089954615831955,13938437.34061725084731431
"BGR",106350.80163455377910011,11158730.954921530795756304
"BHR",62.25233474110893854,71517.71355012744886863
"BHS",6316.42972839423268499,1338763.00509958156771335
"BIH",53275.53914975828104327,5106883.294355876217841285
"BLM",2.56538798209960945,2468.52481734923307305
"BLR",963615.69739023756483372,20706912.088084453065107006
"BLZ",18602.43941163261233553,2198946.13206765053333070
"BMU",0.0,6808.11859427957749121
"BOL",617222.47171365056850562,108339284.56963708985592693
"BRA",8062335.57461458551563414,850035649.73938157514229223
"BRB",376.69489843677204404,43466.14610412647618049
"BRN",7531.55107414679915966,577778.77387916915350587
"BTN",28220.58000733569048716,3876296.12215418025269886
"BWA",13303.41288058775318851,57788401.20904665280321394
"CAF",482448.63775915225149700,62019959.33841708513174344
"CAN",16961758.323494283063456577,983248496.891630265203757416
"CHE",15072.472488924158170991,4124549.641870537629172400
"CHL",731818.620416129832147552,75735291.610013897515123623
"CHN",6689625.938304381831670255,937975763.533485404178418221
"CIV",881678.48578559057958497,32165794.10811222292753655
"CMR",351062.81360331078251792,46604005.88968935995473042
"COD",1591178.53891314784518208,232912780.76088128209585794
"COG",113139.38404588084804152,34173222.79362323733222399
"COL",1085199.37499554925109548,113675874.94466155991247431
"COM",81.77428284127931348,167304.82830115376866038
"CPV",0.0,409097.90660205255860231
"CRI",57877.19638542545398235,5117666.97282909029002779
"CUB",164350.80909144464163886,11073121.95109024866379898
"CUW",175.91891166003772666,43776.98739261728629330
"CYM",496.93336332073350984,28039.82870751737466566
"CYP",3222.19070979899983178,571955.85590309980084516
"CZE",77299.754204474398958051,7883558.885974188195534921
"DEU",342762.129878716918655351,35783855.986941678786502791
"DJI",1.43019999109646274,2186335.76499683050131122
"DMA",79.94926556201118905,75428.07801474696096236
"DNK",95181.264453312424137425,4314471.770574933337364984
"DOM",54804.49516410668560047,4809195.18837629826416376
"DZA",89151.500110426973645166,230804377.307476858262989531
"ECU",218567.54676523256260196,25611545.43210307189814346
"EGY",4206.14317207634676730,98376439.43319319691627760
"ERI",10676.05426510607236763,12045733.19758741048644967
"ESH",0.8468465702973091,26732059.55215974754277544
"ESP",381023.964879486694367939,50604278.841079098801441693
"EST",165131.04992309621149694,4548974.01267697899693824
"ETH",403581.63840458700917408,112951806.95088439976785512
"FIN",1357021.839559055737399957,33693917.990935523360572253
"FJI",5409.64180532559592310,1808230.97430807436384573
"FLK",0.0,1239764.46349397841545140
"FRA",695647.70157919122244811,54951497.53228062171413535
"FRO",0.0,143971.29834117758223
"FSM",0.0,10266.94449256166772127
"GAB",50031.07070191969761667,26454969.88269702373232467
"GBR",473122.873353554145060284,24548497.615152736596063647
"GEO",93536.927067709263032761,6984457.386673213450747911
"GGY",78.8577342356054749,8844.93755901556846626
"GHA",312123.82513429422425414,23832413.12140803808212263
"GIB",0.56178891583767369,721.216465881726747135
"GIN",272657.02250911430353094,24481606.68352878356906445
"GLP",1509.21540676874000004,165028.80176980556507537
"GMB",15326.74161420894728827,1067050.75194432577353654
"GNB",43268.84090738375070555,3388205.00461434817203591
"GNQ",5166.85145047425293142,2695935.33829355546637998
"GRC",71537.221570146655941525,13257505.410982377811149395
"GRD",85.03143324627712948,35953.33668168462841806
"GRL",0.0,12409768.809413071767975
"GTM",291032.32192894374498334,10915098.49020755684995501
"GUF",10102.61297458694549031,8330096.72653065261428894
"GUY",30502.23772629823512640,20974416.13835077860162912
"HKG",676.04778131099002537,112913.21583203726773504
"HND",137965.26680554919573299,11228979.89758681888195422
"HRV",59572.585954177985302224,5707840.168681549498494425
"HTI",13832.43045707082275376,2710683.58727079708808071
"HUN",207300.872439781999890394,9305263.744427138616871540
"IDN",4882137.55646066694722619,189024469.02198099106525347
"IMN",999.78701965450548628,57966.50957252323878833
"IND",1881688.64455582879806401,315279651.30504232007912250
"IRL",284262.893195418497778993,7036644.645938049682306921
"IRN",49762.475642411927944544,162173902.839997180209688234
"IRQ",9456.84849983959358247,44535864.69401222423822748
"ISL",0.0,10222425.829558982702131
"ISR",5317.68468925092425930,2215883.36642860003094280
"ITA",189386.546773232079824545,30075442.783973355343126204
"JAM",5832.93846082223062255,1099979.93279543521999031
"JEY",110.40400324998915296,12512.55195693854701258
"JOR",871.67344393303923288,8911879.30131099589720926
"JPN",221004.476844936412239186,37240326.656746639480235910
"KAZ",71223.57219771056572069,273053036.224308746955768776
"KEN",117012.53516486077622693,58598335.71896832786096856
"KGZ",67691.24154366812500378,19864898.70385206239157728
"KHM",147334.16125753268665783,18135960.79359191576709764
"KIR",0.0,689.8485050325128
"KNA",426.33041180369353341,26717.78772642989370056
"KOR",109265.365474692406260345,10022829.791973575841368659
"KWT",51.43570785744251,1738893.79534992925762586
"LAO",101748.46294826673466925,23000147.78672162007894163
"LBN",6369.40228857948827697,1023803.86081599453667509
"LBR",57761.74345626596479968,9591801.58297115007932771
"LBY",1498.7101261687192077,161606184.8479427599772323
"LCA",143.49987878137318785,61447.62916553652785946
"LIE",56.40659884577473090,16203.80932192960472527
"LKA",60079.26929598398550132,6583727.01456334110928792
"LSO",2973.22491214435900523,3054531.16285719648932437
"LTU",241547.688524283057391965,6501662.939353808036796375
"LUX",2851.124661261778760346,258155.739396158576904466
"LVA",290488.613916395160559381,6470996.260925068048250991
